scenario_id;group;Dom;Eco;Ling;AC;AE_p_VL;AE_p_L;AE_p_M;AE_p_H;AE_p_VH;AE_top;AE_top_prob;AE_mean;description
S0;baseline;M;M;M;M;8.56467454788366e-05;0.04237578783627373;0.9245428298095784;0.032995022438225684;7.131704432880246e-07;M;0.9245428298095784;0.49808987349037614;Baseline: all inputs at Medium
S1;extreme;VL;VL;VL;VL;0.9653965810140537;0.03460266043809404;7.585478522931011e-07;1.6602512990942357e-17;0.0;VL;0.9653965810140537;0.10692083550675974;Floor case: all inputs at Very Low
S2;extreme;VH;VH;VH;VH;1.147096012970914e-22;7.484720543048983e-13;9.016124149959823e-05;0.043901646289099275;0.9560081924686527;VH;0.9560081924686527;0.8911836062451313;Ceiling case: all inputs at Very High
S3;isolated;VL;M;M;M;0.0031262995531275055;0.681153680002755;0.30998703748528583;0.005732982663084399;2.957473118650029e-10;L;0.681153680002755;0.36366534082911384;Isolated effect: Dom=VL, others=M
S4;isolated;VH;M;M;M;6.025794248170191e-09;0.005789061101622405;0.6153211208889651;0.3788566720480832;3.313993553509244e-05;M;0.6153211208889651;0.5746267757531884;Isolated effect: Dom=VH, others=M
S5;isolated;M;VL;M;M;0.0005011435503389991;0.1402915094628969;0.8386168476633251;0.02059043793794296;6.138549602056952e-08;M;0.8386168476633251;0.475859352829072;Isolated effect: Eco=VL, others=M
S6;isolated;M;VH;M;M;7.283256458989899e-06;0.021480000457744612;0.8924659995138973;0.08604253742154562;4.179350353523593e-06;M;0.8924659995138973;0.512911265830318;Isolated effect: Eco=VH, others=M
S7;isolated;M;M;VL;M;0.04817179585403857;0.8586206275068283;0.09304249624464242;0.00016508038735765757;7.1331195991082524e-12;L;0.8586206275068283;0.3090401722373437;Isolated effect: Ling=VL, others=M
S8;isolated;M;M;VH;M;7.43600717478545e-12;0.00019563132654655841;0.475562358325874;0.5228551784505674;0.001386831889576032;H;0.5228551784505674;0.6050866421776602;Isolated effect: Ling=VH, others=M
S9;isolated;M;M;M;VL;0.0330353666425515;0.9338712182470339;0.03309269709637082;7.18014043744232e-07;1.6092487048507102e-17;L;0.9338712182470339;0.30001175329638136;Isolated effect: AC=VL, others=M
S10;isolated;M;M;M;VH;7.02559648066629e-07;0.011750945130503426;0.7249161785996552;0.2612716170368997;0.0020605566732936806;M;0.7249161785996552;0.5507280760267376;Isolated effect: AC=VH, others=M
S11;conflict;VH;VH;VH;VL;7.416612903476592e-07;0.03385054504266438;0.9438916062171621;0.022257106111149515;9.677336745172845e-10;M;0.9438916062171621;0.49768101593627434;Trade-off: high technical (VH,VH,VH) with low collaboration (AC=VL)
S12;conflict;VL;VL;VL;VH;0.24604219625791238;0.7417738455011528;0.01218319592181007;7.623191232548287e-07;1.5751582373583236e-15;L;0.7417738455011528;0.2532285048604298;Trade-off: low technical (VL,VL,VL) with high collaboration (AC=VH)
