projeto_id,team_str,rank_expert,rank_bn
P1,[Dev169;Dev27;Dev81;Dev363],3,2
P1,[Dev71;Dev518;Dev509;Dev439],4,5
P1,[Dev205;Dev526;Dev363;Dev447],4,4
P1,[Dev33;Dev303;Dev270;Dev93],1,1
P1,[Dev316;Dev389;Dev526;Dev308],2,3
P2,[Dev466;Dev93;Dev437;Dev292],1,2
P2,[Dev270;Dev411;Dev479;Dev503],2,5
P2,[Dev115;Dev119;Dev399;Dev193],3,3
P2,[Dev468;Dev263;Dev503;Dev5],4,4
P2,[Dev104;Dev363;Dev544;Dev81],3,1
P3,[Dev423;Dev558;Dev494;Dev391],3,1
P3,[Dev104;Dev446;Dev152;Dev465],5,2
P3,[Dev362;Dev242;Dev450;Dev161],4,3
P3,[Dev362;Dev354;Dev495;Dev458],3,4
P3,[Dev439;Dev16;Dev209;Dev463],5,5
P4,[Dev263;Dev241;Dev303;Dev548],2,2
P4,[Dev145;Dev38;Dev225;Dev263],3,3
P4,[Dev193;Dev194;Dev7;Dev154],1,1
P4,[Dev438;Dev270;Dev104;Dev293],3,5
P4,[Dev198;Dev415;Dev62;Dev559],4,4
P5,[Dev174;Dev265;Dev524;Dev169],5,5
P5,[Dev438;Dev558;Dev461;Dev297],2,1
P5,[Dev324;Dev439;Dev370;Dev250],3,2
P5,[Dev331;Dev36;Dev181;Dev494],2,4
P5,[Dev479;Dev389;Dev357;Dev316],4,3
P6,[Dev65;Dev71;Dev63;Dev261],2,2
P6,[Dev508;Dev193;Dev36;Dev335],1,1
P6,[Dev242;Dev168;Dev446;Dev93],2,3
P6,[Dev568;Dev463;Dev7;Dev498],5,4
P6,[Dev67;Dev94;Dev291;Dev450],5,5
