projeto_id,team_id,team_str,ae_bn_mean,rank_bn,AT_cont,AC_cont,dist_AE,t_cpt_build_s,t_dim_s,t_pc_graph_s,t_pc_transform_s,t_infer_at_s,t_infer_ae_s,t_infer_total_s,t_team_total_s,t_project_total_s,t_project_total_plus_cpt_s,dominio_m_total,dominio_m_covered,dominio_m_covered_list,dominio_s_total,dominio_s_covered,dominio_s_covered_list,dominio_c_total,dominio_c_covered,dominio_c_covered_list,ecossistema_m_total,ecossistema_m_covered,ecossistema_m_covered_list,ecossistema_s_total,ecossistema_s_covered,ecossistema_s_covered_list,ecossistema_c_total,ecossistema_c_covered,ecossistema_c_covered_list,linguagens_m_total,linguagens_m_covered,linguagens_m_covered_list,linguagens_s_total,linguagens_s_covered,linguagens_s_covered_list,linguagens_c_total,linguagens_c_covered,linguagens_c_covered_list
P1,P1-TEAM0,[Dev169;Dev27;Dev81;Dev363],0.38923,2,0.297896,0.333333,"0.258676,0.297110,0.242949,0.141918,0.059347",74.219293,0.018906,0.000124,0.000047,0.026098,0.023814,0.049911,0.069368,0.40025,74.619543,2,1,web,1,0,,1,1,mobile,1,0,,1,1,react,1,0,,1,0,,2,1,javascript,1,0,
P1,P1-TEAM1,[Dev71;Dev518;Dev509;Dev439],0.370153,5,0.26007,0.3,"0.283321,0.306738,0.234444,0.126849,0.048648",74.219293,0.035993,0.000059,0.000037,0.021206,0.023457,0.044663,0.081099,0.40025,74.619543,2,1,web,1,0,,1,0,,1,0,,1,1,react,1,0,,1,0,,2,2,"javascript,typescript",1,1,python
P1,P1-TEAM2,[Dev205;Dev526;Dev363;Dev447],0.376794,4,0.26007,0.333333,"0.274823,0.303381,0.237273,0.132052,0.052471",74.219293,0.030136,0.000046,0.000026,0.023495,0.026271,0.049765,0.08028,0.40025,74.619543,2,1,web,1,0,,1,1,mobile,1,0,,1,1,react,1,0,,1,0,,2,1,javascript,1,0,
P1,P1-TEAM3,[Dev33;Dev303;Dev270;Dev93],0.524925,1,0.710165,0.366667,"0.116650,0.209237,0.267894,0.245276,0.160943",74.219293,0.019968,0.000052,0.000031,0.025186,0.026207,0.051393,0.071765,0.40025,74.619543,2,2,"desktop,web",1,1,cloud,1,0,,1,1,.net,1,0,,1,0,,1,1,c#,2,2,"javascript,typescript",1,1,python
P1,P1-TEAM4,[Dev316;Dev389;Dev526;Dev308],0.382012,3,0.297896,0.3,"0.267388,0.301117,0.240387,0.136259,0.054848",74.219293,0.041772,0.000165,0.000039,0.024933,0.027107,0.05204,0.094411,0.40025,74.619543,2,1,web,1,0,,1,1,mobile,1,0,,1,1,react,1,0,,1,0,,2,1,javascript,1,0,
P2,P2-TEAM0,[Dev466;Dev93;Dev437;Dev292],0.433902,3,0.34185,0.5,"0.207837,0.270560,0.255519,0.176424,0.089660",74.219293,0.020643,0.00005,0.000029,0.024294,0.024989,0.049283,0.070326,0.439019,74.658313,1,1,mobile,1,1,web,1,1,cloud,2,0,,1,0,,1,1,.net,2,1,swift,2,1,javascript,2,1,c#
P2,P2-TEAM1,[Dev270;Dev411;Dev479;Dev503],0.391837,5,0.228102,0.5,"0.255626,0.295840,0.243542,0.143708,0.061284",74.219293,0.043236,0.000061,0.000038,0.024675,0.025557,0.050232,0.093884,0.439019,74.658313,1,0,,1,1,web,1,0,,2,0,,1,1,react,1,0,,2,0,,2,2,"javascript,typescript",2,1,java
P2,P2-TEAM2,[Dev115;Dev119;Dev399;Dev193],0.451858,1,0.391202,0.5,"0.188984,0.258970,0.258884,0.190096,0.103065",74.219293,0.039706,0.00006,0.000036,0.033511,0.024737,0.058249,0.098434,0.439019,74.658313,1,1,mobile,1,1,web,1,0,,2,0,,1,0,,1,1,.net,2,1,swift,2,1,javascript,2,2,"c#,java"
P2,P2-TEAM3,[Dev468;Dev263;Dev503;Dev5],0.428172,4,0.34185,0.466667,"0.213813,0.274224,0.254540,0.172136,0.085286",74.219293,0.044082,0.000051,0.000027,0.025279,0.02745,0.052729,0.097229,0.439019,74.658313,1,1,mobile,1,1,web,1,1,cloud,2,1,android,1,1,react,1,0,,2,1,kotlin,2,1,javascript,2,0,
P2,P2-TEAM4,[Dev104;Dev363;Dev544;Dev81],0.442477,2,0.466519,0.333333,"0.195014,0.266710,0.261703,0.184021,0.092552",74.219293,0.02043,0.000052,0.000026,0.027386,0.027401,0.054787,0.075628,0.439019,74.658313,1,1,mobile,1,0,,1,0,,2,1,android,1,0,,1,0,,2,2,"kotlin,swift",2,1,javascript,2,0,
P3,P3-TEAM0,[Dev423;Dev558;Dev494;Dev391],0.494311,1,0.608958,0.366667,"0.144175,0.231421,0.267348,0.222781,0.134274",74.219293,0.038075,0.000051,0.000027,0.025367,0.027433,0.0528,0.091314,0.415694,74.634987,2,1,cloud,1,1,web,1,0,,1,1,aws lambda,3,1,react,1,1,android,2,1,python,1,1,javascript,2,0,
P3,P3-TEAM1,[Dev104;Dev446;Dev152;Dev465],0.359939,2,0.228102,0.3,"0.297415,0.311312,0.228972,0.118761,0.043539",74.219293,0.021423,0.000053,0.000026,0.022721,0.027037,0.049757,0.071635,0.415694,74.634987,2,0,,1,1,web,1,0,,1,0,,3,1,react,1,1,android,2,0,,1,1,javascript,2,1,java
P3,P3-TEAM2,[Dev362;Dev242;Dev450;Dev161],0.359939,3,0.228102,0.3,"0.297415,0.311312,0.228972,0.118761,0.043539",74.219293,0.045857,0.00005,0.000025,0.025933,0.02612,0.052053,0.098331,0.415694,74.634987,2,0,,1,1,web,1,1,desktop,1,0,,3,1,react,1,0,,2,1,c++,1,1,javascript,2,0,
P3,P3-TEAM3,[Dev362;Dev354;Dev495;Dev458],0.359939,4,0.228102,0.3,"0.297415,0.311312,0.228972,0.118761,0.043539",74.219293,0.023832,0.000051,0.000026,0.022844,0.031529,0.054374,0.078599,0.415694,74.634987,2,0,,1,1,web,1,0,,1,0,,3,1,react,1,0,,2,0,,1,1,javascript,2,1,java
P3,P3-TEAM4,[Dev439;Dev16;Dev209;Dev463],0.359939,5,0.228102,0.3,"0.297415,0.311312,0.228972,0.118761,0.043539",74.219293,0.020853,0.000065,0.000035,0.024925,0.026082,0.051007,0.072293,0.415694,74.634987,2,0,,1,1,web,1,0,,1,0,,3,1,react,1,0,,2,0,,1,1,javascript,2,0,
P4,P4-TEAM0,[Dev263;Dev241;Dev303;Dev548],0.471077,1,0.598524,0.3,"0.162723,0.248967,0.270004,0.206817,0.111489",74.219293,0.047046,0.000591,0.000048,0.027511,0.026181,0.053692,0.1018,0.504119,74.723413,1,1,web,1,0,,1,1,desktop,1,0,,2,0,,1,0,,1,1,javascript,2,0,,2,1,c#
P4,P4-TEAM1,[Dev145;Dev38;Dev225;Dev263],0.454058,3,0.43345,0.433333,"0.186167,0.257796,0.259893,0.191870,0.104275",74.219293,0.047521,0.000054,0.000027,0.025938,0.03035,0.056288,0.104239,0.504119,74.723413,1,1,web,1,0,,1,0,,1,0,,2,1,react,1,0,,1,1,javascript,2,0,,2,0,
P4,P4-TEAM2,[Dev193;Dev194;Dev7;Dev154],0.471022,2,0.444515,0.5,"0.169823,0.246141,0.261360,0.204457,0.118219",74.219293,0.021764,0.000047,0.000027,0.022882,0.02674,0.049622,0.071796,0.504119,74.723413,1,1,web,1,1,cloud,1,0,,1,0,,2,1,react,1,1,aws lambda,1,1,javascript,2,1,python,2,1,java
P4,P4-TEAM3,[Dev438;Dev270;Dev104;Dev293],0.439576,5,0.391053,0.433333,"0.201478,0.267080,0.257068,0.180833,0.093541",74.219293,0.049305,0.000055,0.000028,0.024001,0.026609,0.05061,0.100301,0.504119,74.723413,1,1,web,1,1,cloud,1,0,,1,0,,2,1,angular,1,1,aws lambda,1,0,,2,2,"python,typescript",2,0,
P4,P4-TEAM4,[Dev198;Dev415;Dev62;Dev559],0.454058,4,0.43345,0.433333,"0.186167,0.257796,0.259893,0.191870,0.104275",74.219293,0.047939,0.000054,0.000027,0.044745,0.029505,0.07425,0.122629,0.504119,74.723413,1,1,web,1,0,,1,0,,1,1,mongodb,2,0,,1,0,,1,1,javascript,2,0,,2,0,
P5,P5-TEAM0,[Dev174;Dev265;Dev524;Dev169],0.395555,4,0.34192,0.3,"0.249766,0.294299,0.246620,0.147023,0.062292",74.219293,0.025466,0.000064,0.000028,0.024911,0.025928,0.05084,0.076736,0.435073,74.654366,2,1,web,1,0,,1,1,desktop,3,1,react,1,1,.net,1,0,,3,1,javascript,2,2,"c#,java",2,0,
P5,P5-TEAM1,[Dev438;Dev558;Dev461;Dev297],0.450951,1,0.444558,0.4,"0.188258,0.260256,0.260761,0.189925,0.100800",74.219293,0.021374,0.000055,0.000035,0.022986,0.028817,0.051803,0.073607,0.435073,74.654366,2,2,"cloud,web",1,1,mobile,1,0,,3,2,"aws lambda,react",1,0,,1,1,android,3,2,"javascript,python",2,0,,2,1,kotlin
P5,P5-TEAM2,[Dev324;Dev439;Dev370;Dev250],0.410444,3,0.391202,0.3,"0.231102,0.286321,0.252775,0.158862,0.070940",74.219293,0.045651,0.000051,0.000025,0.023489,0.026646,0.050135,0.096212,0.435073,74.654366,2,2,"cloud,web",1,1,mobile,1,0,,3,2,"aws lambda,react",1,0,,1,1,android,3,2,"javascript,python",2,0,,2,2,"kotlin,swift"
P5,P5-TEAM3,[Dev331;Dev36;Dev181;Dev494],0.425917,2,0.391202,0.366667,"0.215365,0.276102,0.255057,0.170532,0.082943",74.219293,0.028872,0.000064,0.000037,0.025621,0.027248,0.052868,0.082214,0.435073,74.654366,2,1,cloud,1,1,mobile,1,0,,3,1,aws lambda,1,0,,1,1,android,3,1,python,2,0,,2,2,"kotlin,swift"
P5,P5-TEAM4,[Dev479;Dev389;Dev357;Dev316],0.395555,5,0.34192,0.3,"0.249766,0.294299,0.246620,0.147023,0.062292",74.219293,0.051165,0.000054,0.000027,0.023063,0.027449,0.050511,0.102119,0.435073,74.654366,2,1,web,1,1,mobile,1,0,,3,0,,1,0,,1,1,android,3,2,"javascript,typescript",2,0,,2,1,kotlin
P6,P6-TEAM0,[Dev65;Dev71;Dev63;Dev261],0.395367,3,0.297896,0.366667,"0.251761,0.293449,0.244582,0.146613,0.063596",74.219293,0.030045,0.000063,0.000038,0.022672,0.028324,0.050996,0.081476,0.500414,74.719707,2,2,"embedded,hardware",1,1,iot,1,1,cloud,2,2,"desenvolvimento de placa,pcb",1,1,eletrônica (circuitos lógicos e analógicos),3,3,"analisador lógico),instrumentação (osciloscópio,prototipação",1,1,c,1,1,c++,1,1,python
P6,P6-TEAM1,[Dev508;Dev193;Dev36;Dev335],0.427229,1,0.297896,0.566667,"0.214475,0.275154,0.254589,0.171314,0.084468",74.219293,0.053111,0.000062,0.000034,0.02267,0.028414,0.051084,0.104651,0.500414,74.719707,2,2,"embedded,hardware",1,1,iot,1,1,cloud,2,2,"desenvolvimento de placa,pcb",1,1,eletrônica (circuitos lógicos e analógicos),3,3,"analisador lógico),instrumentação (osciloscópio,prototipação",1,1,c,1,1,c++,1,1,python
P6,P6-TEAM2,[Dev242;Dev168;Dev446;Dev93],0.38923,4,0.297896,0.333333,"0.258676,0.297110,0.242949,0.141918,0.059347",74.219293,0.057202,0.000057,0.000033,0.023984,0.024829,0.048812,0.106453,0.500414,74.719707,2,2,"embedded,hardware",1,1,iot,1,1,cloud,2,2,"desenvolvimento de placa,pcb",1,1,eletrônica (circuitos lógicos e analógicos),3,3,"analisador lógico),instrumentação (osciloscópio,prototipação",1,1,c,1,1,c++,1,1,python
P6,P6-TEAM3,[Dev568;Dev463;Dev7;Dev498],0.395444,2,0.228102,0.533333,"0.250694,0.294243,0.245375,0.146525,0.063163",74.219293,0.055319,0.000071,0.000039,0.023575,0.027015,0.05059,0.106429,0.500414,74.719707,2,0,,1,0,,1,0,,2,0,,1,0,,3,0,,1,0,,1,0,,1,0,
P6,P6-TEAM4,[Dev67;Dev94;Dev291;Dev450],0.371857,5,0.228102,0.366667,"0.281801,0.305531,0.234416,0.128082,0.050169",74.219293,0.039115,0.000051,0.000026,0.024775,0.032239,0.057014,0.096554,0.500414,74.719707,2,0,,1,0,,1,0,,2,0,,1,0,,3,0,,1,0,,1,0,,1,0,
