projeto_id;projeto e requisitos;equipe_id;dev1;dev2;dev3;dev4;rank_expert;nota_global;observações;team_match_summary;DOM_M;DOM_S;DOM_C;ECO_M;ECO_S;ECO_C;LING_M;LING_S;LING_C;MUST_OK;FALTAS_MUST;TOTAL_FALTAS_MUST;note_dev1;note_dev2;note_dev3;note_dev4;;;;;;;;
P1;Manutenção de Portal Corporativo .NET;P1-TEAM0;Dev169;Dev27;Dev81;Dev363;0;;;DOM M(1/2)[web] S(0/1)[] C(1/1)[mobile] | ECO M(0/1)[] S(1/1)[react] C(0/1)[] | LING M(0/1)[] S(1/2)[javascript] C(0/1)[];1/2;0/1;1/1;0/1;1/1;0/1;0/1;1/2;0/1;FALSO;DOM faltam 1 | ECO faltam 1 | LING faltam 1;3;"Domínio: Web
Ecossistema: React
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/2)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (1/1)[react] C (0/1)[]
LING: M (0/1)[] S (1/2)[javascript] C (0/1)[]

Colaboração (somente com membros desta equipe):
169-27: SEM_COMUM
169-81: SEM_COMUM
169-363: SEM_COMUM";"Domínio: Web
Ecossistema: nan
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/2)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/1)[] C (0/1)[]
LING: M (0/1)[] S (1/2)[javascript] C (0/1)[]

Colaboração (somente com membros desta equipe):
27-81: SEM_COMUM
27-169: SEM_COMUM
27-363: P103(,osf=0.739,slf=0.847); P123(,osf=0.393,slf=0.825); P144(,osf=0.541,slf=0.688); P145(,osf=0.612,slf=0.871); P148(,osf=0.411,slf=0.639); P149(,osf=0.325,slf=0.603); P150(,osf=0.475,slf=0.317); P171(,osf=0.486,slf=0.531); P177(,osf=0.340,slf=0.621); P179(,osf=0.489,slf=0.711); P239(,osf=0.422,slf=0.462); P240(,osf=0.385,slf=0.409); P258(,osf=0.666,slf=0.352); P72(,osf=0.639,slf=0.456); P80(,osf=0.559,slf=0.624); P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538); P99(,osf=0.757,slf=0.452)";"Domínio: IoT
Ecossistema: nan
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/2)[] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/1)[] C (0/1)[]
LING: M (0/1)[] S (1/2)[javascript] C (0/1)[]

Colaboração (somente com membros desta equipe):
81-27: SEM_COMUM
81-169: SEM_COMUM
81-363: SEM_COMUM";"Domínio: Mobile
Ecossistema: iOS/iPadOS
Linguagens: Swift

Match (requisitos do projeto):
DOM: M (0/2)[] S (0/1)[] C (1/1)[mobile]
ECO: M (0/1)[] S (0/1)[] C (0/1)[]
LING: M (0/1)[] S (0/2)[] C (0/1)[]

Colaboração (somente com membros desta equipe):
363-27: P103(,osf=0.739,slf=0.847); P123(,osf=0.393,slf=0.825); P144(,osf=0.541,slf=0.688); P145(,osf=0.612,slf=0.871); P148(,osf=0.411,slf=0.639); P149(,osf=0.325,slf=0.603); P150(,osf=0.475,slf=0.317); P171(,osf=0.486,slf=0.531); P177(,osf=0.340,slf=0.621); P179(,osf=0.489,slf=0.711); P239(,osf=0.422,slf=0.462); P240(,osf=0.385,slf=0.409); P258(,osf=0.666,slf=0.352); P72(,osf=0.639,slf=0.456); P80(,osf=0.559,slf=0.624); P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538); P99(,osf=0.757,slf=0.452) | 363-447: P123(,osf=0.393,slf=0.825); P144(,osf=0.541,slf=0.688); P145(,osf=0.612,slf=0.871); P148(,osf=0.411,slf=0.639); P149(,osf=0.325,slf=0.603); P150(,osf=0.475,slf=0.317); P171(,osf=0.486,slf=0.531); P177(,osf=0.340,slf=0.621); P179(,osf=0.489,slf=0.711); P214(,osf=0.335,slf=0.820); P239(,osf=0.422,slf=0.462); P240(,osf=0.385,slf=0.409); P258(,osf=0.666,slf=0.352); P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538) | 363-544: P123(,osf=0.393,slf=0.825); P144(,osf=0.541,slf=0.688); P145(,osf=0.612,slf=0.871); P148(,osf=0.411,slf=0.639); P149(,osf=0.325,slf=0.603); P150(,osf=0.475,slf=0.317); P171(,osf=0.486,slf=0.531); P177(,osf=0.340,slf=0.621); P179(,osf=0.489,slf=0.711); P239(,osf=0.422,slf=0.462); P240(,osf=0.385,slf=0.409); P258(,osf=0.666,slf=0.352); P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538)
363-81: SEM_COMUM
363-169: SEM_COMUM";;;;;;;;
;"DOM  M[Desktop, Web] S[Cloud] C[Mobile]
ECO  M[.NET] S[React] C[MongoDB]
LING M[C#] S[JavaScript, TypeScript] C[Python]";;Dev71;Dev518;Dev509;Dev439;0;;;DOM M(1/2)[web] S(0/1)[] C(0/1)[] | ECO M(0/1)[] S(1/1)[react] C(0/1)[] | LING M(0/1)[] S(2/2)[javascript, typescript] C(1/1)[python];1/2;0/1;0/1;0/1;1/1;0/1;0/1;2/2;1/1;FALSO;DOM faltam 1 | ECO faltam 1 | LING faltam 1;3;;;;;;;;;;;;
;;;Dev205;Dev526;Dev363;Dev447;0;;;DOM M(1/2)[web] S(0/1)[] C(1/1)[mobile] | ECO M(0/1)[] S(1/1)[react] C(0/1)[] | LING M(0/1)[] S(1/2)[javascript] C(0/1)[];1/2;0/1;1/1;0/1;1/1;0/1;0/1;1/2;0/1;FALSO;DOM faltam 1 | ECO faltam 1 | LING faltam 1;3;"Domínio: Mobile
Ecossistema: Android
Linguagens: Kotlin

Match (requisitos do projeto):
DOM: M (0/2)[] S (0/1)[] C (1/1)[mobile]
ECO: M (0/1)[] S (0/1)[] C (0/1)[]
LING: M (0/1)[] S (0/2)[] C (0/1)[]

Colaboração (somente com membros desta equipe):
205-363: SEM_COMUM
205-447: SEM_COMUM
205-526: P139(,osf=0.325,slf=0.436)";"Domínio: Web
Ecossistema: React
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/2)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (1/1)[react] C (0/1)[]
LING: M (0/1)[] S (1/2)[javascript] C (0/1)[]

Colaboração (somente com membros desta equipe):
526-205: P139(,osf=0.325,slf=0.436)
526-363: SEM_COMUM
526-447: SEM_COMUM";"Domínio: Mobile
Ecossistema: iOS/iPadOS
Linguagens: Swift

Match (requisitos do projeto):
DOM: M (0/2)[] S (0/1)[] C (1/1)[mobile]
ECO: M (0/1)[] S (0/1)[] C (0/1)[]
LING: M (0/1)[] S (0/2)[] C (0/1)[]

Colaboração (somente com membros desta equipe):
363-205: SEM_COMUM
363-447: SEM_COMUM
363-526: SEM_COMUM";"Domínio: Mobile
Ecossistema: iOS/iPadOS
Linguagens: Swift

Match (requisitos do projeto):
DOM: M (0/2)[] S (0/1)[] C (1/1)[mobile]
ECO: M (0/1)[] S (0/1)[] C (0/1)[]
LING: M (0/1)[] S (0/2)[] C (0/1)[]

Colaboração (somente com membros desta equipe):
447-205: SEM_COMUM
447-363: P123(,osf=0.393,slf=0.825); P144(,osf=0.541,slf=0.688); P145(,osf=0.612,slf=0.871); P148(,osf=0.411,slf=0.639); P149(,osf=0.325,slf=0.603); P150(,osf=0.475,slf=0.317); P171(,osf=0.486,slf=0.531); P177(,osf=0.340,slf=0.621); P179(,osf=0.489,slf=0.711); P214(,osf=0.335,slf=0.820); P239(,osf=0.422,slf=0.462); P240(,osf=0.385,slf=0.409); P258(,osf=0.666,slf=0.352); P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538)
447-526: SEM_COMUM";;;;;;;;
;;;Dev33;Dev303;Dev270;Dev93;0;;;DOM M(2/2)[desktop, web] S(0/1)[] C(0/1)[] | ECO M(1/1)[.net] S(0/1)[] C(0/1)[] | LING M(1/1)[c#] S(2/2)[javascript, typescript] C(0/1)[];2/2;0/1;0/1;1/1;0/1;0/1;1/1;2/2;0/1;VERDADEIRO;OK;0;"Domínio: nan
Ecossistema: Android, CouchDB, iOS/iPadOS
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/2)[] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/1)[] C (0/1)[]
LING: M (0/1)[] S (1/2)[javascript] C (0/1)[]

Colaboração (somente com membros desta equipe):
33-93: SEM_COMUM
33-270: SEM_COMUM
33-303: SEM_COMUM";"Domínio: Desktop
Ecossistema: .NET
Linguagens: C#

Match (requisitos do projeto):
DOM: M (1/2)[desktop] S (0/1)[] C (0/1)[]
ECO: M (1/1)[.net] S (0/1)[] C (0/1)[]
LING: M (1/1)[c#] S (0/2)[] C (0/1)[]

Colaboração (somente com membros desta equipe):
303-33: SEM_COMUM
303-93: SEM_COMUM
303-270: SEM_COMUM";"Domínio: Web
Ecossistema: Angular
Linguagens: TypeScript

Match (requisitos do projeto):
DOM: M (1/2)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/1)[] C (0/1)[]
LING: M (0/1)[] S (1/2)[typescript] C (0/1)[]

Colaboração (somente com membros desta equipe):
270-33: SEM_COMUM
270-93: P82(,osf=0.567,slf=0.737) | 270-411: P82(,osf=0.567,slf=0.737) | 270-438: P82(,osf=0.567,slf=0.737)
270-303: SEM_COMUM";"Domínio: Desktop
Ecossistema: .NET
Linguagens: C#

Match (requisitos do projeto):
DOM: M (1/2)[desktop] S (0/1)[] C (0/1)[]
ECO: M (1/1)[.net] S (0/1)[] C (0/1)[]
LING: M (1/1)[c#] S (0/2)[] C (0/1)[]

Colaboração (somente com membros desta equipe):
93-33: SEM_COMUM
93-270: P82(,osf=0.567,slf=0.737) | 93-292: P82(,osf=0.567,slf=0.737) | 93-437: P158(,osf=0.670,slf=0.322); P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538)
93-303: SEM_COMUM";;;;;;;;
;;;Dev316;Dev389;Dev526;Dev308;0;;;DOM M(1/2)[web] S(0/1)[] C(1/1)[mobile] | ECO M(0/1)[] S(1/1)[react] C(0/1)[] | LING M(0/1)[] S(1/2)[javascript] C(0/1)[];1/2;0/1;1/1;0/1;1/1;0/1;0/1;1/2;0/1;FALSO;DOM faltam 1 | ECO faltam 1 | LING faltam 1;3;"Domínio: Web
Ecossistema: Node.js
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/2)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/1)[] C (0/1)[]
LING: M (0/1)[] S (1/2)[javascript] C (0/1)[]

Colaboração (somente com membros desta equipe):
316-308: SEM_COMUM
316-389: SEM_COMUM
316-526: SEM_COMUM";"Domínio: Mobile
Ecossistema: Android
Linguagens: Kotlin

Match (requisitos do projeto):
DOM: M (0/2)[] S (0/1)[] C (1/1)[mobile]
ECO: M (0/1)[] S (0/1)[] C (0/1)[]
LING: M (0/1)[] S (0/2)[] C (0/1)[]

Colaboração (somente com membros desta equipe):
389-308: SEM_COMUM
389-316: SEM_COMUM
389-526: SEM_COMUM";"Domínio: Web
Ecossistema: React
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/2)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (1/1)[react] C (0/1)[]
LING: M (0/1)[] S (1/2)[javascript] C (0/1)[]

Colaboração (somente com membros desta equipe):
526-308: SEM_COMUM
526-316: SEM_COMUM
526-389: SEM_COMUM";"Domínio: Web
Ecossistema: React
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/2)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (1/1)[react] C (0/1)[]
LING: M (0/1)[] S (1/2)[javascript] C (0/1)[]

Colaboração (somente com membros desta equipe):
308-316: SEM_COMUM
308-389: SEM_COMUM
308-526: SEM_COMUM";;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P2;App Mobile Híbrido com Painel Web;P2-TEAM0;Dev466;Dev93;Dev437;Dev292;0;;;DOM M(1/1)[mobile] S(1/1)[web] C(0/1)[] | ECO M(1/2)[ios/ipados] S(0/1)[] C(1/1)[.net] | LING M(1/2)[swift] S(1/2)[javascript] C(1/2)[c#];1/1;1/1;0/1;1/2;0/1;1/1;1/2;1/2;1/2;FALSO;ECO faltam 1 | LING faltam 1;2;"Domínio: Desktop
Ecossistema: .NET
Linguagens: C#

Match (requisitos do projeto):
DOM: M (0/1)[] S (0/1)[] C (0/1)[]
ECO: M (0/2)[] S (0/1)[] C (1/1)[.net]
LING: M (0/2)[] S (0/2)[] C (1/2)[c#]

Colaboração (somente com membros desta equipe):
466-93: SEM_COMUM
466-292: SEM_COMUM
466-437: SEM_COMUM";"Domínio: Desktop
Ecossistema: .NET
Linguagens: C#

Match (requisitos do projeto):
DOM: M (0/1)[] S (0/1)[] C (0/1)[]
ECO: M (0/2)[] S (0/1)[] C (1/1)[.net]
LING: M (0/2)[] S (0/2)[] C (1/2)[c#]

Colaboração (somente com membros desta equipe):
93-292: SEM_COMUM
93-437: SEM_COMUM
93-466: SEM_COMUM";"Domínio: Mobile
Ecossistema: iOS/iPadOS
Linguagens: Swift

Match (requisitos do projeto):
DOM: M (1/1)[mobile] S (0/1)[] C (0/1)[]
ECO: M (1/2)[ios/ipados] S (0/1)[] C (0/1)[]
LING: M (1/2)[swift] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
437-93: P158(,osf=0.670,slf=0.322); P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538) | 437-292: P82(,osf=0.567,slf=0.737)
437-292: SEM_COMUM
437-466: SEM_COMUM";"Domínio: Web
Ecossistema: Node.js
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/1)[] S (1/1)[web] C (0/1)[]
ECO: M (0/2)[] S (0/1)[] C (0/1)[]
LING: M (0/2)[] S (1/2)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
292-93: P82(,osf=0.567,slf=0.737) | 292-437: P82(,osf=0.567,slf=0.737)
292-437: SEM_COMUM
292-466: SEM_COMUM";;;;;;;;
;"DOM  M[Mobile] S[Web] C[Cloud]
ECO  M[Android, iOS/iPadOS] S[React] C[.NET]
LING M[Kotlin, Swift] S[JavaScript, TypeScript] C[Java, C#]";;Dev270;Dev411;Dev479;Dev503;0;;;DOM M(0/1)[] S(1/1)[web] C(0/1)[] | ECO M(0/2)[] S(1/1)[react] C(0/1)[] | LING M(0/2)[] S(2/2)[javascript, typescript] C(1/2)[java];0/1;1/1;0/1;0/2;1/1;0/1;0/2;2/2;1/2;FALSO;DOM faltam 1 | ECO faltam 2 | LING faltam 2;5;"Domínio: Web
Ecossistema: Angular
Linguagens: TypeScript

Match (requisitos do projeto):
DOM: M (0/1)[] S (1/1)[web] C (0/1)[]
ECO: M (0/2)[] S (0/1)[] C (0/1)[]
LING: M (0/2)[] S (1/2)[typescript] C (0/2)[]

Colaboração (somente com membros desta equipe):
270-411: SEM_COMUM
270-479: SEM_COMUM
270-503: SEM_COMUM";"Domínio: Web
Ecossistema: Spring Boot
Linguagens: Java

Match (requisitos do projeto):
DOM: M (0/1)[] S (1/1)[web] C (0/1)[]
ECO: M (0/2)[] S (0/1)[] C (0/1)[]
LING: M (0/2)[] S (0/2)[] C (1/2)[java]

Colaboração (somente com membros desta equipe):
411-270: P82(,osf=0.567,slf=0.737) | 411-479: P179(,osf=0.489,slf=0.711) | 411-503: P145(,osf=0.612,slf=0.871); P177(,osf=0.340,slf=0.621); P284(,osf=0.383,slf=0.553)
411-479: SEM_COMUM
411-503: SEM_COMUM";"Domínio: Web
Ecossistema: Angular
Linguagens: TypeScript

Match (requisitos do projeto):
DOM: M (0/1)[] S (1/1)[web] C (0/1)[]
ECO: M (0/2)[] S (0/1)[] C (0/1)[]
LING: M (0/2)[] S (1/2)[typescript] C (0/2)[]

Colaboração (somente com membros desta equipe):
479-270: SEM_COMUM
479-411: P179(,osf=0.489,slf=0.711)
479-503: SEM_COMUM";"Domínio: Web
Ecossistema: React
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/1)[] S (1/1)[web] C (0/1)[]
ECO: M (0/2)[] S (1/1)[react] C (0/1)[]
LING: M (0/2)[] S (1/2)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
503-270: SEM_COMUM
503-411: SEM_COMUM
503-479: SEM_COMUM";;;;;;;;
;;;Dev115;Dev119;Dev399;Dev193;0;;;DOM M(1/1)[mobile] S(1/1)[web] C(0/1)[] | ECO M(1/2)[ios/ipados] S(0/1)[] C(1/1)[.net] | LING M(1/2)[swift] S(1/2)[javascript] C(2/2)[java, c#];1/1;1/1;0/1;1/2;0/1;1/1;1/2;1/2;2/2;FALSO;ECO faltam 1 | LING faltam 1;2;"Domínio: Web
Ecossistema: Node.js
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/1)[] S (1/1)[web] C (0/1)[]
ECO: M (0/2)[] S (0/1)[] C (0/1)[]
LING: M (0/2)[] S (1/2)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
115-119: SEM_COMUM
115-193: SEM_COMUM
115-399: SEM_COMUM";"Domínio: Mobile
Ecossistema: iOS/iPadOS
Linguagens: Swift

Match (requisitos do projeto):
DOM: M (1/1)[mobile] S (0/1)[] C (0/1)[]
ECO: M (1/2)[ios/ipados] S (0/1)[] C (0/1)[]
LING: M (1/2)[swift] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
119-115: SEM_COMUM
119-193: P82(,osf=0.567,slf=0.737) | 119-399: P82(,osf=0.567,slf=0.737)
119-399: SEM_COMUM";"Domínio: Desktop
Ecossistema: .NET
Linguagens: C#

Match (requisitos do projeto):
DOM: M (0/1)[] S (0/1)[] C (0/1)[]
ECO: M (0/2)[] S (0/1)[] C (1/1)[.net]
LING: M (0/2)[] S (0/2)[] C (1/2)[c#]

Colaboração (somente com membros desta equipe):
399-115: SEM_COMUM
399-119: P82(,osf=0.567,slf=0.737) | 399-193: P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538)
399-193: SEM_COMUM";"Domínio: Web
Ecossistema: Spring Boot
Linguagens: Java

Match (requisitos do projeto):
DOM: M (0/1)[] S (1/1)[web] C (0/1)[]
ECO: M (0/2)[] S (0/1)[] C (0/1)[]
LING: M (0/2)[] S (0/2)[] C (1/2)[java]

Colaboração (somente com membros desta equipe):
193-115: SEM_COMUM
193-119: SEM_COMUM
193-399: SEM_COMUM";;;;;;;;
;;;Dev468;Dev263;Dev503;Dev5;0;;;DOM M(1/1)[mobile] S(1/1)[web] C(1/1)[cloud] | ECO M(1/2)[android] S(1/1)[react] C(0/1)[] | LING M(1/2)[kotlin] S(1/2)[javascript] C(0/2)[];1/1;1/1;1/1;1/2;1/1;0/1;1/2;1/2;0/2;FALSO;ECO faltam 1 | LING faltam 1;2;"Domínio: Cloud
Ecossistema: AWS Lambda
Linguagens: Python

Match (requisitos do projeto):
DOM: M (0/1)[] S (0/1)[] C (1/1)[cloud]
ECO: M (0/2)[] S (0/1)[] C (0/1)[]
LING: M (0/2)[] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
468-5: P82(,osf=0.567,slf=0.737) | 468-508: P196(,osf=0.888,slf=0.339) | 468-516: P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538)
468-263: SEM_COMUM
468-503: SEM_COMUM";"Domínio: Web
Ecossistema: Vue
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/1)[] S (1/1)[web] C (0/1)[]
ECO: M (0/2)[] S (0/1)[] C (0/1)[]
LING: M (0/2)[] S (1/2)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
263-5: P179(,osf=0.489,slf=0.711) | 263-145: P179(,osf=0.489,slf=0.711); P201(,osf=0.535,slf=0.596)
263-468: SEM_COMUM
263-503: SEM_COMUM";"Domínio: Web
Ecossistema: React
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/1)[] S (1/1)[web] C (0/1)[]
ECO: M (0/2)[] S (1/1)[react] C (0/1)[]
LING: M (0/2)[] S (1/2)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
503-5: P145(,osf=0.612,slf=0.871); P177(,osf=0.340,slf=0.621); P213(,osf=0.312,slf=0.608); P216(,osf=0.401,slf=0.341); P279(,osf=0.594,slf=0.422) | 503-411: P145(,osf=0.612,slf=0.871); P177(,osf=0.340,slf=0.621); P284(,osf=0.383,slf=0.553)
503-263: SEM_COMUM
503-468: SEM_COMUM";"Domínio: Mobile
Ecossistema: Android
Linguagens: Kotlin

Match (requisitos do projeto):
DOM: M (1/1)[mobile] S (0/1)[] C (0/1)[]
ECO: M (1/2)[android] S (0/1)[] C (0/1)[]
LING: M (1/2)[kotlin] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
5-263: P179(,osf=0.489,slf=0.711) | 5-468: P82(,osf=0.567,slf=0.737) | 5-503: P145(,osf=0.612,slf=0.871); P177(,osf=0.340,slf=0.621); P213(,osf=0.312,slf=0.608); P216(,osf=0.401,slf=0.341); P279(,osf=0.594,slf=0.422)
5-468: SEM_COMUM
5-503: SEM_COMUM";;;;;;;;
