projeto_id;team_id;team_str;ae_bn_mean;rank_bn;AT_cont;AC_cont;dist_AT;dist_AC;dist_AE;pc_score;pc_label;dominio_tier;ecossistema_tier;linguagens_tier;dominio_score;ecossistema_score;linguagens_score;t_cpt_build_s;t_dim_s;t_pc_graph_s;t_pc_transform_s;t_infer_at_s;t_infer_ae_s;t_infer_total_s;t_team_total_s;t_project_total_s;t_project_total_plus_cpt_s;dominio_m_total;dominio_m_covered;dominio_m_covered_list;dominio_s_total;dominio_s_covered;dominio_s_covered_list;dominio_c_total;dominio_c_covered;dominio_c_covered_list;ecossistema_m_total;ecossistema_m_covered;ecossistema_m_covered_list;ecossistema_s_total;ecossistema_s_covered;ecossistema_s_covered_list;ecossistema_c_total;ecossistema_c_covered;ecossistema_c_covered_list;linguagens_m_total;linguagens_m_covered;linguagens_m_covered_list;linguagens_s_total;linguagens_s_covered;linguagens_s_covered_list;linguagens_c_total;linguagens_c_covered;linguagens_c_covered_list
P1;P1-TEAM0;"[Dev169;Dev27;Dev81;Dev363]";0.164574;2;0.150789;0.300000;0.746058,0.253940,0.000002,0.000000,0.000000;0.000000,1.000000,0.000000,0.000000,0.000000;0.683021,0.311090,0.005890,0.000000,0.000000;0.200000;L;L;VL;VL;0.250000;0.000000;0.000000;3.836989;0.003936;0.000027;0.000058;0.010337;0.007128;0.017466;0.056832;0.220358;4.057347;2;1;web;1;0;;1;1;mobile;1;0;;1;1;react;1;0;;1;0;;2;1;javascript;1;0;
P1;P1-TEAM1;"[Dev71;Dev518;Dev509;Dev439]";0.106921;5;0.104680;0.100000;0.976598,0.023402,0.000000,0.000000,0.000000;1.000000,0.000000,0.000000,0.000000,0.000000;0.965397,0.034603,0.000001,0.000000,0.000000;0.100000;VL;VL;VL;VL;0.125000;0.000000;0.000000;3.836989;0.003033;0.000019;0.000037;0.013893;0.013518;0.027411;0.042884;0.220358;4.057347;2;1;web;1;0;;1;0;;1;0;;1;1;react;1;0;;1;0;;2;2;javascript,typescript;1;1;python
P1;P1-TEAM2;"[Dev205;Dev526;Dev363;Dev447]";0.122672;4;0.104680;0.300000;0.976598,0.023402,0.000000,0.000000,0.000000;0.000000,1.000000,0.000000,0.000000,0.000000;0.887185,0.112272,0.000543,0.000000,0.000000;0.200000;L;VL;VL;VL;0.142857;0.000000;0.000000;3.836989;0.006259;0.000019;0.000038;0.006883;0.012765;0.019648;0.036618;0.220358;4.057347;2;1;web;1;0;;1;1;mobile;1;0;;1;1;react;1;0;;1;0;;2;1;javascript;1;0;
P1;P1-TEAM3;"[Dev33;Dev303;Dev270;Dev93]";0.541278;1;0.782261;0.300000;0.000000,0.000000,0.000080,0.588534,0.411386;0.000000,1.000000,0.000000,0.000000,0.000000;0.000000,0.013369,0.766883,0.219735,0.000013;0.200000;L;H;M;VH;0.642857;0.500000;0.857143;3.836989;0.004269;0.000025;0.000048;0.012619;0.010666;0.023285;0.041647;0.220358;4.057347;2;2;desktop,web;1;1;cloud;1;0;;1;1;.net;1;0;;1;0;;1;1;c#;2;2;javascript,typescript;1;1;python
P1;P1-TEAM4;"[Dev316;Dev389;Dev526;Dev308]";0.128993;3;0.150789;0.100000;0.746058,0.253940,0.000002,0.000000,0.000000;1.000000,0.000000,0.000000,0.000000,0.000000;0.855042,0.144949,0.000008,0.000000,0.000000;0.100000;VL;L;VL;VL;0.250000;0.000000;0.000000;3.836989;0.005886;0.000019;0.000038;0.012355;0.013804;0.026159;0.039963;0.220358;4.057347;2;1;web;1;0;;1;1;mobile;1;0;;1;1;react;1;0;;1;0;;2;1;javascript;1;0;
P2;P2-TEAM0;"[Dev466;Dev93;Dev437;Dev292]";0.275664;2;0.249664;0.500000;0.252112,0.747457,0.000431,0.000000,0.000000;0.000000,0.000000,1.000000,0.000000,0.000000;0.191098,0.739495,0.069397,0.000010,0.000000;0.400000;M;M;VL;VL;0.428572;0.142857;0.093750;3.836989;0.003698;0.000021;0.000038;0.014400;0.013899;0.028299;0.065405;0.237583;4.074573;1;1;mobile;1;1;web;1;1;cloud;2;0;;1;0;;1;1;.net;2;1;swift;2;1;javascript;2;1;c#
P2;P2-TEAM1;"[Dev270;Dev411;Dev479;Dev503]";0.154540;5;0.104680;0.500000;0.976598,0.023402,0.000000,0.000000,0.000000;0.000000,0.000000,1.000000,0.000000,0.000000;0.729460,0.268379,0.002161,0.000000,0.000000;0.400000;M;VL;VL;VL;0.000000;0.000000;0.000000;3.836989;0.005023;0.000024;0.000052;0.013991;0.011293;0.025284;0.044850;0.237583;4.074573;1;0;;1;1;web;1;0;;2;0;;1;1;react;1;0;;2;0;;2;2;javascript,typescript;2;1;java
P2;P2-TEAM2;"[Dev115;Dev119;Dev399;Dev193]";0.275664;3;0.249664;0.500000;0.252112,0.747457,0.000431,0.000000,0.000000;0.000000,0.000000,1.000000,0.000000,0.000000;0.191098,0.739495,0.069397,0.000010,0.000000;0.400000;M;M;VL;VL;0.428572;0.142857;0.125000;3.836989;0.004622;0.000027;0.000056;0.015211;0.009973;0.025184;0.044648;0.237583;4.074573;1;1;mobile;1;1;web;1;0;;2;0;;1;0;;1;1;.net;2;1;swift;2;1;javascript;2;2;c#,java
P2;P2-TEAM3;"[Dev468;Dev263;Dev503;Dev5]";0.275664;4;0.249664;0.500000;0.252112,0.747457,0.000431,0.000000,0.000000;0.000000,0.000000,1.000000,0.000000,0.000000;0.191098,0.739495,0.069397,0.000010,0.000000;0.400000;M;M;VL;VL;0.428572;0.107143;0.062500;3.836989;0.006014;0.000018;0.000038;0.013849;0.013793;0.027642;0.044290;0.237583;4.074573;1;1;mobile;1;1;web;1;1;cloud;2;1;android;1;1;react;1;0;;2;1;kotlin;2;1;javascript;2;0;
P2;P2-TEAM4;"[Dev104;Dev363;Dev544;Dev81]";0.395012;1;0.489471;0.300000;0.000000,0.059900,0.932845,0.007255,0.000000;0.000000,1.000000,0.000000,0.000000,0.000000;0.001366,0.522405,0.476033,0.000196,0.000000;0.200000;L;M;L;M;0.500000;0.285714;0.464286;3.836989;0.004299;0.000026;0.000052;0.011219;0.007238;0.018457;0.036227;0.237583;4.074573;1;1;mobile;1;0;;1;0;;2;1;android;1;0;;1;0;;2;2;kotlin,swift;2;1;javascript;2;0;
