mode;run;seed;team_size;pop;gens_max;gens_executed;stable_gens_param;stable_gens_observed;stop_reason;duration_sec;fitness_calls;ms_per_fitness;best_fitness;best_team
bn;1;123;4;100;100;5;5;5;stable_gens_no_improve;18.884630;514;36.740526;0.793776;[482, 425, 3, 292]
bn;2;124;4;100;100;9;5;5;stable_gens_no_improve;30.640459;805;38.062682;0.793776;[29, 300, 94, 468]
bn;3;125;4;100;100;7;5;5;stable_gens_no_improve;39.850148;690;57.753838;0.786461;[316, 500, 336, 198]
bn;4;126;4;100;100;11;5;5;stable_gens_no_improve;44.803476;906;49.451961;0.793776;[482, 541, 415, 290]
bn;5;127;4;100;100;11;5;5;stable_gens_no_improve;34.434840;960;35.869625;0.793776;[311, 463, 425, 398]
bn;6;128;4;100;100;11;5;5;stable_gens_no_improve;55.753494;960;58.076557;0.793776;[281, 463, 311, 143]
bn;7;129;4;100;100;13;5;5;stable_gens_no_improve;59.238164;1079;54.900987;0.793776;[94, 29, 3, 438]
bn;8;130;4;100;100;9;5;5;stable_gens_no_improve;39.910123;783;50.970783;0.793776;[198, 574, 292, 300]
bn;9;131;4;100;100;12;5;5;stable_gens_no_improve;53.775914;1029;52.260364;0.793776;[425, 94, 300, 438]
bn;10;132;4;100;100;9;5;5;stable_gens_no_improve;27.109218;801;33.844217;0.793776;[543, 94, 425, 292]
