metric;group;value
N_runs;bn;10
dur_mean_sec;bn;40.4400466
dur_median_sec;bn;39.880135499999994
dur_std_sec;bn;13.164877360600762
dur_cv_pct;bn;32.5540608071425
dur_p05_sec;bn;22.585694600000004
dur_p95_sec;bn;57.6700625
dur_p99_sec;bn;58.924543699999994
dur_iqr_sec;bn;19.943750249999994
dur_ci95_low_sec;bn;32.28037107504829
dur_ci95_high_sec;bn;48.59972212495171
dur_min_sec;bn;18.88463
dur_max_sec;bn;59.238164
calls_mean;bn;852.7
calls_median;bn;855.5
calls_std;bn;169.69125558561413
calls_p95;bn;1056.5
ms_per_fitness_mean;bn;46.793154
ms_per_fitness_median;bn;50.211372
ms_per_fitness_std;bn;9.614086211654474
ms_per_fitness_ci95_low;bn;40.83428163019063
ms_per_fitness_ci95_high;bn;52.75202636980937
ms_per_fitness_p95;bn;57.93133345
